"","subject_ids","diff_species","choice","Imj1","Imj2","Img3","CamNum","SD_card_num","ForestType","ForestName","round","Date_Out","Date_Checked","Use_End_Date","Forest","Species"
"36",39639520,1,"COYOTE","01_23_DEG_000106.JPG","01_23_DEG_000107.JPG","01_23_DEG_000108.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Coyote"
"37",39639594,1,"NOTHINGHERE","01_23_DEG_000109.JPG","01_23_DEG_000110.JPG","01_23_DEG_000111.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Nothing Here"
"38",39639665,1,"NOTHINGHERE","01_23_DEG_000112.JPG","01_23_DEG_000114.JPG","01_23_DEG_000113.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Nothing Here"
"39",39639684,1,"COTTONTAILRABBIT","01_23_DEG_000115.JPG","01_23_DEG_000116.JPG","01_23_DEG_000117.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit"
"40",39639693,1,"BLUEJAY","01_23_DEG_000118.JPG","01_23_DEG_000119.JPG","01_23_DEG_000120.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Blue Jay"
"41",39639699,1,"OTHERSMALLMAMMAL","01_23_DEG_000121.JPG","01_23_DEG_000122.JPG","01_23_DEG_000123.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Other Small Mammal"
"42",39639702,1,"DEERWHITETAILED","01_23_DEG_000124.JPG","01_23_DEG_000125.JPG","01_23_DEG_000126.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"43",39639807,2,"SOMETHINGHERE","01_23_DEG_000127.JPG","01_23_DEG_000128.JPG","01_23_DEG_000129.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Something Here"
"44",39639814,1,"DEERWHITETAILED","01_23_DEG_000131.JPG","01_23_DEG_000130.JPG","01_23_DEG_000132.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"45",39639875,1,"FISHER","01_23_DEG_000133.JPG","01_23_DEG_000134.JPG","01_23_DEG_000135.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Fisher"
"46",39639879,1,"DEERWHITETAILED","01_23_DEG_000136.JPG","01_23_DEG_000137.JPG","01_23_DEG_000138.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"47",39639890,1,"COYOTE","01_23_DEG_000139.JPG","01_23_DEG_000140.JPG","01_23_DEG_000141.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Coyote"
"48",39639894,1,"NOTHINGHERE","01_23_DEG_000142.JPG","01_23_DEG_000144.JPG","01_23_DEG_000143.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Nothing Here"
"49",39639947,1,"DEERWHITETAILED","01_23_DEG_000148.JPG","01_23_DEG_000149.JPG","01_23_DEG_000150.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"50",39639953,1,"DEERWHITETAILED","01_23_DEG_000151.JPG","01_23_DEG_000152.JPG","01_23_DEG_000153.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"51",39639954,1,"FISHER","01_23_DEG_000154.JPG","01_23_DEG_000155.JPG","01_23_DEG_000156.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Fisher"
"52",39639964,1,"OTHERBIRD","01_23_DEG_000157.JPG","01_23_DEG_000158.JPG","01_23_DEG_000159.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Other Bird"
"53",39639972,1,"HUMAN","01_23_DEG_000160.JPG","01_23_DEG_000161.JPG",NA,1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Human"
"54",39638591,1,"OPOSSUM","02_07_SH_000001.JPG","02_07_SH_000002.JPG","02_07_SH_000003.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Opossum "
"55",39638592,1,"OPOSSUM","02_07_SH_000004.JPG","02_07_SH_000005.JPG","02_07_SH_000006.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Opossum "
"56",39638600,1,"SQUIRRELGRAY","02_07_SH_000007.JPG","02_07_SH_000008.JPG","02_07_SH_000009.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Gray Squirrel"
"57",39638606,1,"SQUIRRELGRAY","02_07_SH_000010.JPG","02_07_SH_000011.JPG","02_07_SH_000012.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Gray Squirrel"
"58",39638615,1,"RACCOON","02_07_SH_000013.JPG","02_07_SH_000014.JPG","02_07_SH_000015.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Raccoon"
"59",39638627,2,"BLACKBEAR","02_07_SH_000016.JPG","02_07_SH_000017.JPG","02_07_SH_000018.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Black Bear"
"60",39638631,1,"BLACKBEAR","02_07_SH_000019.JPG","02_07_SH_000020.JPG","02_07_SH_000021.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Black Bear"
"61",37156528,1,"HUMAN","02_42_WHIP_000001.JPG","02_42_WHIP_000002.JPG","02_42_WHIP_000003.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Human"
"62",37156529,1,"DEERWHITETAILED","02_42_WHIP_000004.JPG","02_42_WHIP_000005.JPG","02_42_WHIP_000006.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"63",37156530,1,"FISHER","02_42_WHIP_000007.JPG","02_42_WHIP_000008.JPG","02_42_WHIP_000009.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Fisher"
"64",37156531,1,"DEERWHITETAILED","02_42_WHIP_000010.JPG","02_42_WHIP_000011.JPG","02_42_WHIP_000012.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"65",37156532,1,"DEERWHITETAILED","02_42_WHIP_000013.JPG","02_42_WHIP_000014.JPG","02_42_WHIP_000015.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"66",37156533,1,"NOTHINGHERE","02_42_WHIP_000016.JPG","02_42_WHIP_000017.JPG","02_42_WHIP_000018.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Nothing Here"
"67",37156534,1,"NOTHINGHERE","02_42_WHIP_000019.JPG","02_42_WHIP_000020.JPG",NA,2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Nothing Here"
"68",37156535,1,"DEERWHITETAILED","02_42_WHIP_000022.JPG","02_42_WHIP_000023.JPG",NA,2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"69",37156536,1,"DEERWHITETAILED","02_42_WHIP_000025.JPG","02_42_WHIP_000026.JPG",NA,2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"70",37156537,1,"DEERWHITETAILED","02_42_WHIP_000028.JPG","02_42_WHIP_000029.JPG",NA,2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"71",37156538,1,"DEERWHITETAILED","02_42_WHIP_000034.JPG","02_42_WHIP_000035.JPG","02_42_WHIP_000036.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"72",37156539,1,"NOTHINGHERE","02_42_WHIP_000037.JPG","02_42_WHIP_000038.JPG","02_42_WHIP_000039.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Nothing Here"
"73",37156540,1,"DEERWHITETAILED","02_42_WHIP_000040.JPG","02_42_WHIP_000041.JPG","02_42_WHIP_000042.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"74",37156541,1,"SOMETHINGHERE","02_42_WHIP_000043.JPG","02_42_WHIP_000044.JPG","02_42_WHIP_000045.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Something Here"
"75",37156542,1,"DEERWHITETAILED","02_42_WHIP_000046.JPG","02_42_WHIP_000047.JPG","02_42_WHIP_000048.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"76",37156543,1,"DEERWHITETAILED","02_42_WHIP_000049.JPG","02_42_WHIP_000050.JPG","02_42_WHIP_000051.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"77",37156544,1,"HUMAN","02_42_WHIP_000052.JPG","02_42_WHIP_000053.JPG","02_42_WHIP_000054.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Human"
"78",37156545,1,"HUMAN","02_42_WHIP_000055.JPG","02_42_WHIP_000056.JPG","02_42_WHIP_000057.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Human"
"79",37156546,1,"HUMAN","02_42_WHIP_000058.JPG","02_42_WHIP_000059.JPG","02_42_WHIP_000060.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Human"
"80",37156547,1,"DEERWHITETAILED","02_42_WHIP_000061.JPG","02_42_WHIP_000062.JPG","02_42_WHIP_000063.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"81",37156548,1,"DEERWHITETAILED","02_42_WHIP_000064.JPG","02_42_WHIP_000065.JPG","02_42_WHIP_000066.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"82",37156550,1,"DEERWHITETAILED","02_42_WHIP_000067.JPG","02_42_WHIP_000068.JPG","02_42_WHIP_000069.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"83",37156551,1,"DEERWHITETAILED","02_42_WHIP_000070.JPG","02_42_WHIP_000071.JPG","02_42_WHIP_000072.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"84",37156552,1,"RACCOON","02_42_WHIP_000073.JPG","02_42_WHIP_000074.JPG","02_42_WHIP_000075.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Raccoon"
"85",37156553,1,"DEERWHITETAILED","02_42_WHIP_000076.JPG","02_42_WHIP_000077.JPG","02_42_WHIP_000078.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"86",37156554,2,"SOMETHINGHERE","02_42_WHIP_000079.JPG","02_42_WHIP_000080.JPG","02_42_WHIP_000081.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Something Here"
"87",37156555,1,"RACCOON","02_42_WHIP_000082.JPG","02_42_WHIP_000083.JPG","02_42_WHIP_000084.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Raccoon"
"88",37156556,2,"SOMETHINGHERE","02_42_WHIP_000085.JPG","02_42_WHIP_000086.JPG","02_42_WHIP_000087.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Something Here"
"89",37156557,1,"DEERWHITETAILED","02_42_WHIP_000088.JPG","02_42_WHIP_000089.JPG","02_42_WHIP_000090.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"90",37156558,1,"DEERWHITETAILED","02_42_WHIP_000091.JPG","02_42_WHIP_000092.JPG","02_42_WHIP_000093.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"91",37156559,1,"TURKEY","02_42_WHIP_000094.JPG","02_42_WHIP_000095.JPG",NA,2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Turkey"
"92",37156560,1,"COYOTE","02_42_WHIP_000097.JPG","02_42_WHIP_000098.JPG","02_42_WHIP_000099.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Coyote"
"93",37156561,1,"DEERWHITETAILED","02_42_WHIP_000100.JPG","02_42_WHIP_000101.JPG","02_42_WHIP_000102.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer"
"94",37156562,1,"NOTHINGHERE","02_42_WHIP_000103.JPG","02_42_WHIP_000104.JPG","02_42_WHIP_000105.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Nothing Here"
"95",37818668,1,"COTTONTAILRABBIT","03_05_SH_000001.JPG","03_05_SH_000002.JPG","03_05_SH_000003.JPG",3,5,"Deciduous","SH",1,"11/14/18","2/11/19","11/28/18","South Hammond","Cottontail Rabbit"
"96",31428286,1,"NOTHINGHERE","03_05_SH_000001.JPG","03_05_SH_000002.JPG","03_05_SH_000003.JPG",3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Nothing Here"
"97",37818669,1,"NOTHINGHERE","03_05_SH_000004.JPG","03_05_SH_000005.JPG","03_05_SH_000006.JPG",3,5,"Deciduous","SH",1,"11/14/18","2/11/19","11/28/18","South Hammond","Nothing Here"
"98",31428287,2,"NOTHINGHERE","03_05_SH_000004.JPG","03_05_SH_000005.JPG","03_05_SH_000006.JPG",3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Nothing Here"
"99",31428288,1,"NOTHINGHERE","03_05_SH_000007.JPG","03_05_SH_000008.JPG","03_05_SH_000009.JPG",3,5,"Deciduous","SH",1,"11/14/18","2/11/19","11/28/18","South Hammond","Nothing Here"
"100",37818670,2,"COTTONTAILRABBIT","03_05_SH_000007.JPG","03_05_SH_000008.JPG","03_05_SH_000009.JPG",3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Cottontail Rabbit"
"101",31428289,1,"NOTHINGHERE","03_05_SH_000010.JPG","03_05_SH_000011.JPG","03_05_SH_000012.JPG",3,5,"Deciduous","SH",1,"11/14/18","2/11/19","11/28/18","South Hammond","Nothing Here"
"102",37818671,1,"COTTONTAILRABBIT","03_05_SH_000010.JPG","03_05_SH_000011.JPG","03_05_SH_000012.JPG",3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Cottontail Rabbit"
"103",37818851,1,"DEERWHITETAILED","03_05_SH_000013.JPG","03_05_SH_000014.JPG","03_05_SH_000015.JPG",3,5,"Deciduous","SH",1,"11/14/18","2/11/19","11/28/18","South Hammond","White-tailed Deer"
"104",31428290,1,"DEERWHITETAILED","03_05_SH_000013.JPG","03_05_SH_000014.JPG","03_05_SH_000015.JPG",3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","White-tailed Deer"
"105",37820265,1,"DOMESTICCAT","03_05_SH_000028.JPG","03_05_SH_000029.JPG",NA,3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Domestic Cat"
"106",37814462,1,"NOTHINGHERE","03_05_SH_000043.JPG","03_05_SH_000044.JPG",NA,3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Nothing Here"
"107",37814454,1,"NOTHINGHERE","03_05_SH_000049.JPG","03_05_SH_000050.JPG",NA,3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Nothing Here"
"108",37814455,1,"NOTHINGHERE","03_05_SH_000073.JPG","03_05_SH_000074.JPG",NA,3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Nothing Here"
"109",37814456,1,"NOTHINGHERE","03_05_SH_000082.JPG","03_05_SH_000083.JPG",NA,3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Nothing Here"
"110",37814457,1,"NOTHINGHERE","03_05_SH_000097.JPG","03_05_SH_000100.JPG",NA,3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Nothing Here"
"111",37814458,1,"NOTHINGHERE","03_05_SH_000118.JPG","03_05_SH_000119.JPG",NA,3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Nothing Here"
"112",37156563,1,"NOTHINGHERE","03_07_SH_000001.JPG","03_07_SH_000002.JPG","03_07_SH_000003.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","Nothing Here"
"113",37156564,1,"TURKEY","03_07_SH_000004.JPG","03_07_SH_000005.JPG","03_07_SH_000006.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","Turkey"
"114",37156565,1,"DEERWHITETAILED","03_07_SH_000007.JPG","03_07_SH_000008.JPG","03_07_SH_000009.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer"
"115",37156566,1,"DEERWHITETAILED","03_07_SH_000010.JPG","03_07_SH_000011.JPG","03_07_SH_000012.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer"
"116",37156567,1,"DEERWHITETAILED","03_07_SH_000013.JPG","03_07_SH_000014.JPG","03_07_SH_000015.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer"
"117",37156568,2,"NOTHINGHERE","03_07_SH_000016.JPG","03_07_SH_000017.JPG","03_07_SH_000018.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","Nothing Here"
"118",37156569,1,"DEERWHITETAILED","03_07_SH_000019.JPG","03_07_SH_000020.JPG","03_07_SH_000021.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer"
"119",37156570,1,"DEERWHITETAILED","03_07_SH_000022.JPG","03_07_SH_000023.JPG","03_07_SH_000024.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer"
"120",37156571,1,"DEERWHITETAILED","03_07_SH_000025.JPG","03_07_SH_000026.JPG","03_07_SH_000027.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer"
"121",37156572,1,"DEERWHITETAILED","03_07_SH_000028.JPG","03_07_SH_000029.JPG","03_07_SH_000030.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer"
