"","Forest","choice","number_det","Species"
"72","South Hammond","DEERWHITETAILED",243,"White-tailed Deer"
"73","South Hammond","DOMESTICCAT",1,"Domestic Cat"
"74","South Hammond","DOMESTICDOG",3,"Domestic Dog"
"75","South Hammond","FISHER",3,"Fisher"
"76","South Hammond","FOXRED",7,"Red Fox"
"77","South Hammond","GROUSERUFFED",2,"Ruffed Grouse"
"78","South Hammond","HUMAN",6,"Human"
"79","South Hammond","NOTHINGHERE",357,"Nothing Here"
"80","South Hammond","OPOSSUM",3,"Opossum "
"81","South Hammond","OTHERBIRD",23,"Other Bird"
"82","South Hammond","OTHERSMALLMAMMAL",5,"Other Small Mammal"
"83","South Hammond","PORCUPINE",19,"Porcupine"
"84","South Hammond","RACCOON",4,"Raccoon"
"85","South Hammond","SKUNKSTRIPED",1,"Striped Skunk"
"86","South Hammond","SOMETHINGHERE",16,"Something Here"
"87","South Hammond","SQUIRRELFLYING",2,"Flying Squirrel"
"88","South Hammond","SQUIRRELGRAY",224,"Gray Squirrel"
"89","South Hammond","SQUIRRELRED",1,"Red Squirrel"
"90","South Hammond","TURKEY",16,"Turkey"
"91","South Hammond","WEASEL",3,"Weasel"
"92","Whippoorwill Corners","BLACKBEAR",1,"Black Bear"
"93","Whippoorwill Corners","BLUEJAY",5,"Blue Jay"
"94","Whippoorwill Corners","CHIPMUNK",21,"Chipmunk"
"95","Whippoorwill Corners","COYOTE",18,"Coyote"
"96","Whippoorwill Corners","DEERWHITETAILED",253,"White-tailed Deer"
"97","Whippoorwill Corners","DOMESTICDOG",8,"Domestic Dog"
"98","Whippoorwill Corners","FISHER",10,"Fisher"
"99","Whippoorwill Corners","FOXRED",5,"Red Fox"
"100","Whippoorwill Corners","GROUSERUFFED",5,"Ruffed Grouse"
"101","Whippoorwill Corners","HUMAN",20,"Human"
"102","Whippoorwill Corners","NOTHINGHERE",262,"Nothing Here"
"103","Whippoorwill Corners","OTHERBIRD",23,"Other Bird"
"104","Whippoorwill Corners","OTHERSMALLMAMMAL",11,"Other Small Mammal"
"105","Whippoorwill Corners","PORCUPINE",21,"Porcupine"
"106","Whippoorwill Corners","RACCOON",46,"Raccoon"
"107","Whippoorwill Corners","SKUNKSTRIPED",2,"Striped Skunk"
"108","Whippoorwill Corners","SOMETHINGHERE",21,"Something Here"
"109","Whippoorwill Corners","SQUIRRELFLYING",2,"Flying Squirrel"
"110","Whippoorwill Corners","SQUIRRELGRAY",61,"Gray Squirrel"
"111","Whippoorwill Corners","SQUIRRELRED",2,"Red Squirrel"
"112","Whippoorwill Corners","TURKEY",2,"Turkey"
"113","Whippoorwill Corners","WEASEL",2,"Weasel"
"114","Whiskey Flats","BLACKBEAR",6,"Black Bear"
"115","Whiskey Flats","BLUEJAY",12,"Blue Jay"
"116","Whiskey Flats","CHIPMUNK",23,"Chipmunk"
"117","Whiskey Flats","COTTONTAILRABBIT",3,"Cottontail Rabbit"
"118","Whiskey Flats","COYOTE",40,"Coyote"
"119","Whiskey Flats","DEERWHITETAILED",389,"White-tailed Deer"
"120","Whiskey Flats","DOMESTICDOG",2,"Domestic Dog"
"121","Whiskey Flats","FISHER",20,"Fisher"
"122","Whiskey Flats","GROUSERUFFED",4,"Ruffed Grouse"
"123","Whiskey Flats","HUMAN",15,"Human"
"124","Whiskey Flats","NOTHINGHERE",332,"Nothing Here"
"125","Whiskey Flats","OTHERSMALLMAMMAL",1,"Other Small Mammal"
"126","Whiskey Flats","PORCUPINE",20,"Porcupine"
"127","Whiskey Flats","RACCOON",47,"Raccoon"
"128","Whiskey Flats","SNOWSHOEHARE",2,"Snowshoe Hare"
"129","Whiskey Flats","SOMETHINGHERE",18,"Something Here"
"130","Whiskey Flats","SQUIRRELFLYING",8,"Flying Squirrel"
"131","Whiskey Flats","SQUIRRELGRAY",18,"Gray Squirrel"
"132","Whiskey Flats","SQUIRRELRED",39,"Red Squirrel"
"133","Whiskey Flats","TURKEY",11,"Turkey"
"134","Whiskey Flats","WEASEL",1,"Weasel"
