"","X1","subject_ids","diff_species","choice","Imj1","Imj2","Img3","CamNum","SD_card_num","ForestType","ForestName","round","Date_Out","Date_Checked","Use_End_Date","Forest","Species","Diet"
"11",15,39638921,1,"DEERWHITETAILED","01_23_DEG_000043.JPG","01_23_DEG_000044.JPG","01_23_DEG_000045.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"12",16,39638922,1,"COTTONTAILRABBIT","01_23_DEG_000046.JPG","01_23_DEG_000047.JPG","01_23_DEG_000048.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit","Herbivore"
"13",17,39638930,1,"DEERWHITETAILED","01_23_DEG_000049.JPG","01_23_DEG_000051.JPG","01_23_DEG_000050.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"14",18,39638935,1,"RACCOON","01_23_DEG_000052.JPG","01_23_DEG_000054.JPG","01_23_DEG_000053.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Raccoon","Mesocarnivore"
"15",19,39638986,2,"CHIPMUNK","01_23_DEG_000055.JPG","01_23_DEG_000056.JPG","01_23_DEG_000057.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk","Omnivore"
"16",20,39638989,1,"CHIPMUNK","01_23_DEG_000058.JPG","01_23_DEG_000059.JPG","01_23_DEG_000060.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk","Omnivore"
"17",21,39639040,1,"CHIPMUNK","01_23_DEG_000061.JPG","01_23_DEG_000062.JPG","01_23_DEG_000063.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk","Omnivore"
"18",22,39639044,1,"COTTONTAILRABBIT","01_23_DEG_000064.JPG","01_23_DEG_000066.JPG","01_23_DEG_000065.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit","Herbivore"
"19",23,39639045,1,"DEERWHITETAILED","01_23_DEG_000067.JPG","01_23_DEG_000068.JPG","01_23_DEG_000069.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"20",24,39639134,1,"CHIPMUNK","01_23_DEG_000070.JPG","01_23_DEG_000071.JPG","01_23_DEG_000072.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk","Omnivore"
"21",25,39639136,1,"CHIPMUNK","01_23_DEG_000073.JPG","01_23_DEG_000074.JPG","01_23_DEG_000075.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk","Omnivore"
"22",26,39639207,1,"DEERWHITETAILED","01_23_DEG_000076.JPG","01_23_DEG_000077.JPG","01_23_DEG_000078.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"23",27,39639218,1,"COTTONTAILRABBIT","01_23_DEG_000079.JPG","01_23_DEG_000080.JPG","01_23_DEG_000081.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit","Herbivore"
"24",29,39639304,1,"DEERWHITETAILED","01_23_DEG_000087.JPG","01_23_DEG_000085.JPG","01_23_DEG_000086.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"25",30,39639307,1,"DEERWHITETAILED","01_23_DEG_000088.JPG","01_23_DEG_000089.JPG","01_23_DEG_000090.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"26",32,39639426,1,"COTTONTAILRABBIT","01_23_DEG_000094.JPG","01_23_DEG_000095.JPG","01_23_DEG_000096.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit","Herbivore"
"27",33,39639443,1,"SQUIRRELRED","01_23_DEG_000097.JPG","01_23_DEG_000098.JPG","01_23_DEG_000099.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Red Squirrel","Omnivore"
"28",36,39639520,1,"COYOTE","01_23_DEG_000106.JPG","01_23_DEG_000107.JPG","01_23_DEG_000108.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Coyote","Mesocarnivore"
"29",39,39639684,1,"COTTONTAILRABBIT","01_23_DEG_000115.JPG","01_23_DEG_000116.JPG","01_23_DEG_000117.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit","Herbivore"
"30",41,39639699,1,"OTHERSMALLMAMMAL","01_23_DEG_000121.JPG","01_23_DEG_000122.JPG","01_23_DEG_000123.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Other Small Mammal","Omnivore"
"31",42,39639702,1,"DEERWHITETAILED","01_23_DEG_000124.JPG","01_23_DEG_000125.JPG","01_23_DEG_000126.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"32",44,39639814,1,"DEERWHITETAILED","01_23_DEG_000131.JPG","01_23_DEG_000130.JPG","01_23_DEG_000132.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"33",45,39639875,1,"FISHER","01_23_DEG_000133.JPG","01_23_DEG_000134.JPG","01_23_DEG_000135.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Fisher","Mesocarnivore"
"34",46,39639879,1,"DEERWHITETAILED","01_23_DEG_000136.JPG","01_23_DEG_000137.JPG","01_23_DEG_000138.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"35",47,39639890,1,"COYOTE","01_23_DEG_000139.JPG","01_23_DEG_000140.JPG","01_23_DEG_000141.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Coyote","Mesocarnivore"
"36",49,39639947,1,"DEERWHITETAILED","01_23_DEG_000148.JPG","01_23_DEG_000149.JPG","01_23_DEG_000150.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"37",50,39639953,1,"DEERWHITETAILED","01_23_DEG_000151.JPG","01_23_DEG_000152.JPG","01_23_DEG_000153.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"38",51,39639954,1,"FISHER","01_23_DEG_000154.JPG","01_23_DEG_000155.JPG","01_23_DEG_000156.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Fisher","Mesocarnivore"
"39",54,39638591,1,"OPOSSUM","02_07_SH_000001.JPG","02_07_SH_000002.JPG","02_07_SH_000003.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Opossum","Mesocarnivore"
"40",55,39638592,1,"OPOSSUM","02_07_SH_000004.JPG","02_07_SH_000005.JPG","02_07_SH_000006.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Opossum","Mesocarnivore"
"41",56,39638600,1,"SQUIRRELGRAY","02_07_SH_000007.JPG","02_07_SH_000008.JPG","02_07_SH_000009.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Gray Squirrel","Omnivore"
"42",57,39638606,1,"SQUIRRELGRAY","02_07_SH_000010.JPG","02_07_SH_000011.JPG","02_07_SH_000012.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Gray Squirrel","Omnivore"
"43",58,39638615,1,"RACCOON","02_07_SH_000013.JPG","02_07_SH_000014.JPG","02_07_SH_000015.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Raccoon","Mesocarnivore"
"44",59,39638627,2,"BLACKBEAR","02_07_SH_000016.JPG","02_07_SH_000017.JPG","02_07_SH_000018.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Black Bear","Omnivore"
"45",60,39638631,1,"BLACKBEAR","02_07_SH_000019.JPG","02_07_SH_000020.JPG","02_07_SH_000021.JPG",2,7,"Deciduous","SH",4,"9/20/19","12/7/19","9/25/19","South Hammond","Black Bear","Omnivore"
"46",62,37156529,1,"DEERWHITETAILED","02_42_WHIP_000004.JPG","02_42_WHIP_000005.JPG","02_42_WHIP_000006.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"47",63,37156530,1,"FISHER","02_42_WHIP_000007.JPG","02_42_WHIP_000008.JPG","02_42_WHIP_000009.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Fisher","Mesocarnivore"
"48",64,37156531,1,"DEERWHITETAILED","02_42_WHIP_000010.JPG","02_42_WHIP_000011.JPG","02_42_WHIP_000012.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"49",65,37156532,1,"DEERWHITETAILED","02_42_WHIP_000013.JPG","02_42_WHIP_000014.JPG","02_42_WHIP_000015.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"50",68,37156535,1,"DEERWHITETAILED","02_42_WHIP_000022.JPG","02_42_WHIP_000023.JPG",NA,2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"51",69,37156536,1,"DEERWHITETAILED","02_42_WHIP_000025.JPG","02_42_WHIP_000026.JPG",NA,2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"52",70,37156537,1,"DEERWHITETAILED","02_42_WHIP_000028.JPG","02_42_WHIP_000029.JPG",NA,2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"53",71,37156538,1,"DEERWHITETAILED","02_42_WHIP_000034.JPG","02_42_WHIP_000035.JPG","02_42_WHIP_000036.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"54",73,37156540,1,"DEERWHITETAILED","02_42_WHIP_000040.JPG","02_42_WHIP_000041.JPG","02_42_WHIP_000042.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"55",75,37156542,1,"DEERWHITETAILED","02_42_WHIP_000046.JPG","02_42_WHIP_000047.JPG","02_42_WHIP_000048.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"56",76,37156543,1,"DEERWHITETAILED","02_42_WHIP_000049.JPG","02_42_WHIP_000050.JPG","02_42_WHIP_000051.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"57",80,37156547,1,"DEERWHITETAILED","02_42_WHIP_000061.JPG","02_42_WHIP_000062.JPG","02_42_WHIP_000063.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"58",81,37156548,1,"DEERWHITETAILED","02_42_WHIP_000064.JPG","02_42_WHIP_000065.JPG","02_42_WHIP_000066.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"59",82,37156550,1,"DEERWHITETAILED","02_42_WHIP_000067.JPG","02_42_WHIP_000068.JPG","02_42_WHIP_000069.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"60",83,37156551,1,"DEERWHITETAILED","02_42_WHIP_000070.JPG","02_42_WHIP_000071.JPG","02_42_WHIP_000072.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"61",84,37156552,1,"RACCOON","02_42_WHIP_000073.JPG","02_42_WHIP_000074.JPG","02_42_WHIP_000075.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Raccoon","Mesocarnivore"
"62",85,37156553,1,"DEERWHITETAILED","02_42_WHIP_000076.JPG","02_42_WHIP_000077.JPG","02_42_WHIP_000078.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"63",87,37156555,1,"RACCOON","02_42_WHIP_000082.JPG","02_42_WHIP_000083.JPG","02_42_WHIP_000084.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Raccoon","Mesocarnivore"
"64",89,37156557,1,"DEERWHITETAILED","02_42_WHIP_000088.JPG","02_42_WHIP_000089.JPG","02_42_WHIP_000090.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"65",90,37156558,1,"DEERWHITETAILED","02_42_WHIP_000091.JPG","02_42_WHIP_000092.JPG","02_42_WHIP_000093.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"66",92,37156560,1,"COYOTE","02_42_WHIP_000097.JPG","02_42_WHIP_000098.JPG","02_42_WHIP_000099.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","Coyote","Mesocarnivore"
"67",93,37156561,1,"DEERWHITETAILED","02_42_WHIP_000100.JPG","02_42_WHIP_000101.JPG","02_42_WHIP_000102.JPG",2,42,"Pine","WHIP",2,"1/24/19","5/13/19","4/22/19","Whippoorwill Corners","White-tailed Deer","Herbivore"
"68",95,37818668,1,"COTTONTAILRABBIT","03_05_SH_000001.JPG","03_05_SH_000002.JPG","03_05_SH_000003.JPG",3,5,"Deciduous","SH",1,"11/14/18","2/11/19","11/28/18","South Hammond","Cottontail Rabbit","Herbivore"
"69",100,37818670,2,"COTTONTAILRABBIT","03_05_SH_000007.JPG","03_05_SH_000008.JPG","03_05_SH_000009.JPG",3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Cottontail Rabbit","Herbivore"
"70",102,37818671,1,"COTTONTAILRABBIT","03_05_SH_000010.JPG","03_05_SH_000011.JPG","03_05_SH_000012.JPG",3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","Cottontail Rabbit","Herbivore"
"71",103,37818851,1,"DEERWHITETAILED","03_05_SH_000013.JPG","03_05_SH_000014.JPG","03_05_SH_000015.JPG",3,5,"Deciduous","SH",1,"11/14/18","2/11/19","11/28/18","South Hammond","White-tailed Deer","Herbivore"
"72",104,31428290,1,"DEERWHITETAILED","03_05_SH_000013.JPG","03_05_SH_000014.JPG","03_05_SH_000015.JPG",3,5,"Deciduous","SH",3,"5/10/19","8/31/19","8/31/19","South Hammond","White-tailed Deer","Herbivore"
"73",114,37156565,1,"DEERWHITETAILED","03_07_SH_000007.JPG","03_07_SH_000008.JPG","03_07_SH_000009.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"74",115,37156566,1,"DEERWHITETAILED","03_07_SH_000010.JPG","03_07_SH_000011.JPG","03_07_SH_000012.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"75",116,37156567,1,"DEERWHITETAILED","03_07_SH_000013.JPG","03_07_SH_000014.JPG","03_07_SH_000015.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"76",118,37156569,1,"DEERWHITETAILED","03_07_SH_000019.JPG","03_07_SH_000020.JPG","03_07_SH_000021.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"77",119,37156570,1,"DEERWHITETAILED","03_07_SH_000022.JPG","03_07_SH_000023.JPG","03_07_SH_000024.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"78",120,37156571,1,"DEERWHITETAILED","03_07_SH_000025.JPG","03_07_SH_000026.JPG","03_07_SH_000027.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"79",121,37156572,1,"DEERWHITETAILED","03_07_SH_000028.JPG","03_07_SH_000029.JPG","03_07_SH_000030.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"80",122,37156573,1,"DEERWHITETAILED","03_07_SH_000031.JPG","03_07_SH_000032.JPG","03_07_SH_000033.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"81",131,37156582,1,"DEERWHITETAILED","03_07_SH_000058.JPG","03_07_SH_000059.JPG","03_07_SH_000060.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"82",132,37156583,1,"DEERWHITETAILED","03_07_SH_000061.JPG","03_07_SH_000062.JPG","03_07_SH_000063.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"83",133,37156584,1,"DEERWHITETAILED","03_07_SH_000064.JPG","03_07_SH_000065.JPG","03_07_SH_000066.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"84",134,37156585,1,"DEERWHITETAILED","03_07_SH_000067.JPG","03_07_SH_000068.JPG","03_07_SH_000069.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"85",135,37156586,1,"DEERWHITETAILED","03_07_SH_000070.JPG","03_07_SH_000071.JPG","03_07_SH_000072.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"86",137,37156588,1,"DEERWHITETAILED","03_07_SH_000076.JPG","03_07_SH_000077.JPG","03_07_SH_000078.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"87",138,37156589,2,"DEERWHITETAILED","03_07_SH_000079.JPG","03_07_SH_000080.JPG","03_07_SH_000081.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"88",139,37156590,1,"DEERWHITETAILED","03_07_SH_000082.JPG","03_07_SH_000083.JPG","03_07_SH_000084.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"89",140,37156591,1,"DEERWHITETAILED","03_07_SH_000085.JPG","03_07_SH_000086.JPG","03_07_SH_000087.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"90",141,37156592,1,"DEERWHITETAILED","03_07_SH_000088.JPG","03_07_SH_000089.JPG","03_07_SH_000090.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"91",142,37156593,1,"DEERWHITETAILED","03_07_SH_000091.JPG","03_07_SH_000092.JPG","03_07_SH_000093.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"92",143,37156594,1,"DEERWHITETAILED","03_07_SH_000094.JPG","03_07_SH_000095.JPG","03_07_SH_000096.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"93",144,37156595,1,"DEERWHITETAILED","03_07_SH_000097.JPG","03_07_SH_000098.JPG","03_07_SH_000099.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"94",145,37156596,1,"DEERWHITETAILED","03_07_SH_000100.JPG","03_07_SH_000101.JPG","03_07_SH_000102.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"95",146,37156597,1,"DEERWHITETAILED","03_07_SH_000103.JPG","03_07_SH_000104.JPG","03_07_SH_000105.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"96",147,37156598,1,"DEERWHITETAILED","03_07_SH_000109.JPG","03_07_SH_000110.JPG","03_07_SH_000111.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"97",148,37156599,1,"DEERWHITETAILED","03_07_SH_000112.JPG","03_07_SH_000113.JPG","03_07_SH_000114.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"98",149,37156600,1,"DEERWHITETAILED","03_07_SH_000115.JPG","03_07_SH_000116.JPG","03_07_SH_000117.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"99",150,37156601,2,"DEERWHITETAILED","03_07_SH_000118.JPG","03_07_SH_000119.JPG","03_07_SH_000120.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"100",151,37156602,1,"DEERWHITETAILED","03_07_SH_000121.JPG","03_07_SH_000122.JPG","03_07_SH_000123.JPG",3,7,"Deciduous","SH",2,"2/11/19","5/10/19","5/10/19","South Hammond","White-tailed Deer","Herbivore"
"101",157,39639315,1,"COYOTE","03_39_WF_000010.JPG","03_39_WF_000011.JPG","03_39_WF_000012.JPG",3,39,"Pine","WF",4,"9/29/19","12/6/19","12/6/19","Whiskey Flats","Coyote","Mesocarnivore"
"102",159,39639522,1,"DEERWHITETAILED","03_39_WF_000016.JPG","03_39_WF_000017.JPG","03_39_WF_000018.JPG",3,39,"Pine","WF",4,"9/29/19","12/6/19","12/6/19","Whiskey Flats","White-tailed Deer","Herbivore"
"103",162,39639884,1,"COYOTE","03_39_WF_000025.JPG","03_39_WF_000026.JPG","03_39_WF_000027.JPG",3,39,"Pine","WF",4,"9/29/19","12/6/19","12/6/19","Whiskey Flats","Coyote","Mesocarnivore"
"104",163,39639903,1,"DEERWHITETAILED","03_39_WF_000028.JPG","03_39_WF_000029.JPG","03_39_WF_000030.JPG",3,39,"Pine","WF",4,"9/29/19","12/6/19","12/6/19","Whiskey Flats","White-tailed Deer","Herbivore"
"105",164,39639949,1,"DEERWHITETAILED","03_39_WF_000031.JPG","03_39_WF_000032.JPG","03_39_WF_000033.JPG",3,39,"Pine","WF",4,"9/29/19","12/6/19","12/6/19","Whiskey Flats","White-tailed Deer","Herbivore"
"106",165,39639950,1,"DEERWHITETAILED","03_39_WF_000034.JPG","03_39_WF_000035.JPG","03_39_WF_000036.JPG",3,39,"Pine","WF",4,"9/29/19","12/6/19","12/6/19","Whiskey Flats","White-tailed Deer","Herbivore"
"107",166,39640010,1,"DEERWHITETAILED","03_39_WF_000037.JPG","03_39_WF_000038.JPG","03_39_WF_000039.JPG",3,39,"Pine","WF",4,"9/29/19","12/6/19","12/6/19","Whiskey Flats","White-tailed Deer","Herbivore"
"108",171,40303369,2,"SQUIRRELGRAY","04_12_BC_000007.JPG","04_12_BC_000008.JPG","04_12_BC_000009.JPG",4,12,"Deciduous","BC",4,"10/19/19","2/2/20","12/15/19","Beaver Creek","Gray Squirrel","Omnivore"
"109",172,40303372,2,"SQUIRRELGRAY","04_12_BC_000010.JPG","04_12_BC_000011.JPG","04_12_BC_000012.JPG",4,12,"Deciduous","BC",4,"10/19/19","2/2/20","12/15/19","Beaver Creek","Gray Squirrel","Omnivore"
"110",173,40303373,1,"SQUIRRELGRAY","04_12_BC_000013.JPG","04_12_BC_000014.JPG","04_12_BC_000015.JPG",4,12,"Deciduous","BC",4,"10/19/19","2/2/20","12/15/19","Beaver Creek","Gray Squirrel","Omnivore"
"111",174,40303374,1,"DEERWHITETAILED","04_12_BC_000016.JPG","04_12_BC_000017.JPG","04_12_BC_000018.JPG",4,12,"Deciduous","BC",4,"10/19/19","2/2/20","12/15/19","Beaver Creek","White-tailed Deer","Herbivore"
